0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,activity
3.7746500000000003,5.730489235440548,-9.58,19.57,3.36,919.23,45.378036164600886,9.940750000000001,4.170777617842984,1.84,19.5,10.21,648.0600000000001,182.37491194804295,-0.5759000000000001,3.2857932360390545,-9.15,12.11,-1.1,569.6099999999999,-11.16349117136666,Walking
3.8804,5.892860327548923,-9.58,19.57,3.85,962.05,69.8610216529456,9.99615,4.564172507421252,1.33,19.57,10.23,708.1400000000001,206.9161682164816,-0.6134000000000001,3.4107284324613127,-9.15,12.11,-0.97,597.41,-13.925247611899096,Walking
3.68565,5.780735902763592,-8.96,19.57,3.85,948.23,76.57538797045613,9.9681,4.798754983326404,0.95,19.57,9.98,773.04,201.9492138303576,-0.5721499999999999,3.3660674202249723,-8.77,11.5,-0.99,590.34,-8.691509434077384,Walking
3.41995,5.716459699630532,-8.54,19.57,3.17,935.3600000000001,68.00992101967617,10.1083,4.787057353949293,0.95,19.57,10.08,822.0900000000001,199.66793068597764,-0.6408999999999999,3.3508737949973586,-9.38,11.37,-1.18,638.5799999999999,-17.924188672763858,Walking
3.37855,5.774096327348548,-9.08,19.57,3.17,927.64,73.8272625831986,10.18565,4.810180410078192,0.89,19.57,10.12,824.6700000000001,202.8311345252368,-0.7007999999999999,3.495494151046458,-9.38,11.37,-1.065,695.5799999999999,-12.744213275323052,Walking
3.25815,5.780065923283228,-9.08,19.53,2.9699999999999998,908.1799999999998,68.83346538262973,10.196349999999999,4.970685081304185,0.23,19.57,10.195,826.7700000000001,206.1410578767193,-0.61925,3.5336401822341785,-9.3,10.46,-0.97,643.8299999999999,-11.01576565473897,Walking
3.0447999999999995,5.696481893239019,-8.96,19.53,2.74,903.6999999999999,54.69169758195661,10.2163,4.835961570360129,0.23,19.57,10.34,783.22,203.09763846527147,-0.56065,3.3693129978528265,-9.3,11.26,-0.9299999999999999,592.67,-17.803821416441846,Walking
3.1203499999999997,5.6760611675262975,-7.93,19.57,2.965,889.5,71.5853496694259,10.205049999999998,4.707336082913563,0.38,19.57,10.190000000000001,730.44,203.63556302371197,-0.47645000000000004,3.261455487585259,-10.92,11.26,-0.89,593.8400000000001,-4.887989991793809,Walking
3.07425,5.952246503422048,-9.89,19.57,3.02,943.9399999999999,76.03474254600306,10.2095,4.801398207814053,-0.08,19.57,10.38,726.96,201.2465044029303,-0.5141,3.3246073738112294,-10.92,10.34,-0.725,605.4399999999999,-9.076036055716967,Walking
2.72645,5.9370570064216155,-9.89,19.53,2.05,962.7199999999999,42.34990455344211,10.28565,4.9202627549247815,-0.15,19.57,10.71,778.9200000000001,202.806956041577,-0.6609999999999999,3.658037998709144,-10.11,10.04,-0.99,711.1899999999999,-23.570518398407025,Walking
2.46185,5.790181696415062,-9.53,18.66,2.07,950.05,35.18490386114681,10.314400000000001,5.047493302620619,-0.15,19.57,10.61,808.95,204.16477297342504,-0.5936500000000001,3.7227539775682197,-9.47,10.69,-1.06,747.27,-20.993642623909103,Walking
2.3586,5.772726135891084,-9.53,19.38,2.34,966.91,60.16661126802378,10.2819,5.133364139626177,-0.91,19.57,10.55,822.92,204.56778137076216,-0.5634,3.4762385476258673,-8.69,11.3,-1.0350000000000001,691.2399999999999,-5.690748269476124,Walking
2.3946500000000004,5.592715161484626,-8.39,19.38,2.2,911.8299999999999,60.97453184747705,10.271399999999998,5.066512611254412,-0.91,19.57,10.59,836.03,208.36527281299726,-0.5402,3.3473045813011995,-9.85,11.3,-0.97,670.1899999999999,-4.4590462705285905,Walking
2.3937,5.420600179869384,-8.39,19.27,1.9749999999999999,859.3,45.06556006660777,10.281199999999998,4.800273175559908,0.53,19.57,10.29,783.1199999999999,204.35173401608336,-0.4513499999999999,3.343750839626063,-9.85,10.92,-0.95,670.01,-14.479869568779609,Walking
2.4037,5.4596264808135,-8.62,19.53,1.69,850.5899999999999,37.50547350579995,10.3433,4.612428547956055,2.15,19.57,10.190000000000001,757.51,202.76999422174222,-0.4632,3.253311814136481,-9.81,10.92,-0.91,682.48,-17.117376760952908,Walking
2.36795,5.609131866652807,-8.62,19.53,1.7650000000000001,895.39,39.50318968687672,10.32495,4.662048691026295,-0.69,19.57,10.36,748.3,204.44832347894302,-0.47540000000000004,3.186628600888406,-8.88,10.23,-0.91,655.0,-9.766756047775228,Walking
2.2448,5.730788162198984,-9.0,19.38,2.07,947.6600000000001,42.810180385465074,10.3835,4.663728095633363,-0.69,19.57,10.745000000000001,712.6899999999999,210.41914873480945,-0.42815,3.227482467419459,-8.62,10.23,-1.04,643.38,-7.137202014514837,Walking
2.2032499999999997,5.814728793116666,-9.3,19.38,2.335,963.9300000000001,41.346794270282146,10.4805,4.687726287871339,0.69,19.57,10.879999999999999,685.73,217.11611582085447,-0.43130000000000007,3.115193944203153,-8.16,10.5,-1.1,610.35,-6.888435993812635,Walking
2.0497499999999995,5.954510931848223,-11.65,19.34,2.22,1000.3100000000001,41.611843408826246,10.468350000000001,4.755365998269744,0.69,19.57,10.71,722.22,213.7649638294052,-0.50205,3.0589152158077213,-8.16,10.5,-0.91,654.85,-7.9078495131845346,Walking
1.8991,5.987250219424607,-11.65,19.31,2.24,1015.44,49.06518178852302,10.4768,4.719296108531441,1.12,19.57,10.515,721.01,211.6654240182836,-0.50665,3.0117736099348504,-7.74,9.92,-0.865,700.8499999999999,-1.815718397856445,Walking
1.8748999999999998,5.735170964321814,-9.49,18.89,2.1849999999999996,955.3299999999999,43.717685275031485,10.44385,4.793015614151492,0.53,19.57,10.69,687.7099999999999,207.85596580878246,-0.46785,3.092019708459181,-7.31,9.43,-0.99,669.8,-9.479253745646123,Walking
1.8522999999999998,5.751367812094789,-9.23,19.53,1.745,941.8800000000001,32.25417316027033,10.326150000000002,5.085496797511527,0.53,19.57,10.57,794.22,202.12938230908247,-0.6251,2.9927916716671077,-9.0,9.43,-1.08,625.47,-18.60104455601927,Walking
1.91255,5.721343023932405,-8.81,19.53,1.5750000000000002,934.76,33.974497285648404,10.27125,5.169973204717796,0.23,19.57,10.515,853.2,204.5433210451708,-0.62575,3.009829137592365,-9.04,9.66,-1.08,639.08,-11.408631586943251,Walking
2.0211,5.579692625046652,-8.54,19.53,1.52,910.97,36.32041848090559,10.3578,4.936686860638419,0.23,19.57,10.55,786.52,207.08956638171276,-0.48095,3.1009870360096636,-9.04,9.66,-1.04,637.95,-13.511036884115356,Walking
2.00155,5.602537112549991,-8.35,19.38,1.44,915.8199999999999,32.56974671926034,10.4805,4.906815846350869,0.31,19.57,10.59,767.4799999999999,205.9081105649475,-0.4617,3.1039934133306404,-8.35,10.53,-0.99,623.3599999999999,-7.705633270489436,Walking
1.7366000000000001,5.583612937874545,-8.73,19.42,1.69,938.47,37.53771750635787,10.49865,4.989185772999439,-0.5,19.57,10.67,747.63,208.80841015743331,-0.44770000000000004,3.2830470161117096,-8.35,10.53,-0.91,676.18,-7.492256098707912,Walking
1.5449000000000002,5.670669536306979,-8.73,19.5,1.52,957.53,34.42649056173467,10.44445,4.950192086929556,-0.5,19.57,10.705,793.73,207.25800315037668,-0.3383,3.2970661367342937,-8.35,11.88,-0.97,672.7199999999999,-6.464532794659464,Walking
1.5609500000000003,5.752142000811524,-8.69,19.5,1.67,972.34,34.7440097286191,10.527999999999997,4.804526511530558,0.65,19.57,10.780000000000001,776.6700000000001,210.47775653803546,-0.27410000000000007,3.0580395991549882,-7.55,11.88,-0.89,604.06,-4.864808689676314,Walking
1.5679500000000002,5.700589469300521,-10.0,19.08,1.84,959.5899999999999,37.38320153044285,10.5358,4.870335549015078,-0.27,19.57,10.629999999999999,747.6300000000001,207.3894882481033,-0.35365,3.0109546953582678,-7.82,10.69,-0.97,621.01,-7.643487262086671,Walking
1.6940000000000004,5.885729181673244,-10.0,19.5,1.8199999999999998,969.9399999999999,39.87165516341155,10.4627,5.096339540297525,-0.27,19.57,10.345,805.26,208.15359860768672,-0.40525,3.0071496366991783,-9.49,10.69,-0.99,637.56,-7.1373141195021885,Walking
